
                                               d  i  s  p  l  a  c  e  m  e  n  t  s
                            *   69 *     -39.3830 *    -139.0775 **   70 *     -25.9719 *    -138.8227 *
                            *   71 *     -12.7959 *    -138.6975 **   72 *       0.2624 *    -138.7041 *
                            *   73 *      13.3200 *    -138.8433 **   74 *      26.4940 *    -139.1138 *
                            *   75 *      39.9011 *    -139.5131 **   76 *      53.6579 *    -140.0369 *
                            *   77 *      67.8810 *    -140.6797 **   78 *     -72.3433 *    -177.6622 *
                            *   79 *     -57.1468 *    -177.3038 **   80 *     -42.3942 *    -177.0331 *
                            *   81 *     -27.9748 *    -176.8558 **   82 *     -13.7779 *    -176.7762 *
                            *   83 *       0.3074 *    -176.7966 **   84 *      14.3918 *    -176.9178 *
                            *   85 *      28.5861 *    -177.1389 **   86 *      43.0012 *    -177.4575 *
                            *   87 *      57.7476 *    -177.8694 **   88 *      72.9363 *    -178.3689 *
                            *   89 *     -75.7712 *    -217.3442 **   90 *     -59.9176 *    -217.1192 *
                            *   91 *     -44.4832 *    -216.9520 **   92 *     -29.3633 *    -216.8482 *
                            *   93 *     -14.4534 *    -216.8121 **   94 *       0.3509 *    -216.8461 *
                            *   95 *      15.1545 *    -216.9509 **   96 *      30.0618 *    -217.1258 *
                            *   97 *      45.1776 *    -217.3683 **   98 *      60.6064 *    -217.6743 *
                            *   99 *      76.4528 *    -218.0380 **  100 *     -77.7474 *    -258.2564 *
                            *  101 *     -61.5270 *    -258.1572 **  102 *     -45.7011 *    -258.0875 *
                            *  103 *     -30.1713 *    -258.0531 **  104 *     -14.8391 *    -258.0581 *
                            *  105 *       0.3937 *    -258.1049 **  106 *      15.6258 *    -258.1945 *
                            *  107 *      30.9556 *    -258.3259 **  108 *      46.4815 *    -258.4967 *
                            *  109 *      62.3020 *    -258.7028 **  110 *      78.5156 *    -258.9385 *
                            *  111 *     -78.3571 *    -299.6941 **  112 *     -62.0432 *    -299.7130 *
                            *  113 *     -46.0993 *    -299.7349 **  114 *     -30.4330 *    -299.7656 *
                            *  115 *     -14.9520 *    -299.8092 **  116 *       0.4359 *    -299.8682 *
                            *  117 *      15.8231 *    -299.9434 **  118 *      31.3018 *    -300.0339 *
                            *  119 *      46.9643 *    -300.1373 **  120 *      62.9030 *    -300.2496 *
                            *  121 *      79.2102 *    -300.3649 **  122 *     -77.6857 *    -340.9953 *
                            *  123 *     -61.5347 *    -341.1246 **  124 *     -45.7291 *    -341.2321 *
                            *  125 *     -30.1826 *    -341.3236 **  126 *     -14.8091 *    -341.4033 *
                            *  127 *       0.4775 *    -341.4735 **  128 *      15.7633 *    -341.5352 *
                            *  129 *      31.1345 *    -341.5874 **  130 *      46.6773 *    -341.6278 *
                            *  131 *      62.4777 *    -341.6521 **  132 *      78.6221 *    -341.6548 *
                            *  133 *     -75.8186 *    -381.5404 **  134 *     -60.0698 *    -381.7723 *
                            *  135 *     -44.6417 *    -381.9595 **  136 *     -29.4543 *    -382.1076 *
                            *  137 *     -14.4276 *    -382.2207 **  138 *       0.5183 *    -382.3014 *
                            *  139 *      15.4635 *    -382.3503 **  140 *      30.4880 *    -382.3668 *
                            *  141 *      45.6716 *    -382.3483 **  142 *      61.0946 *    -382.2908 *
                            *  143 *      76.8367 *    -382.1885 **  144 *     -72.8413 *    -420.7525 *
                            *  145 *     -57.7168 *    -421.0794 **  146 *     -42.8885 *    -421.3402 *
                            *  147 *     -28.2824 *    -421.5406 **  148 *     -13.8247 *    -421.6846 *
                            *  149 *       0.5585 *    -421.7748 **  150 *      14.9408 *    -421.8120 *
                            *  151 *      29.3963 *    -421.7953 **  152 *      43.9987 *    -421.7223 *
                            *  153 *      58.8219 *    -421.5888 **  154 *      73.9397 *    -421.3892 *
                            *  155 *     -68.8391 *    -458.0974 **  156 *     -54.5441 *    -458.5117 *
                            *  157 *     -40.5206 *    -458.8401 **  158 *     -26.7009 *    -459.0885 *
                            *  159 *     -13.0173 *    -459.2609 **  160 *       0.5979 *    -459.3598 *
                            *  161 *      14.2123 *    -459.3860 **  162 *      27.8937 *    -459.3386 *
                            *  163 *      41.7097 *    -459.2153 **  164 *      55.7281 *    -459.0120 *
                            *  165 *      70.0164 *    -458.7228 **  166 *     -63.8976 *    -493.0839 *
                            *  167 *     -50.6201 *    -493.5778 **  168 *     -37.5894 *    -493.9679 *
                            *  169 *     -24.7441 *    -494.2600 **  170 *     -12.0226 *    -494.4581 *
                            *  171 *       0.6366 *    -494.5649 **  172 *      13.2951 *    -494.5809 *
                            *  173 *      26.0144 *    -494.5055 **  174 *      38.8560 *    -494.3362 *
                            *  175 *      51.8815 *    -494.0689 **  176 *      65.1523 *    -493.6978 *
                            *  177 *     -58.1022 *    -525.2631 **  178 *     -46.0131 *    -525.8289 *
                            *  179 *     -34.1462 *    -526.2747 **  180 *     -22.4462 *    -526.6063 *
                            *  181 *     -10.8577 *    -526.8277 **  182 *       0.6746 *    -526.9414 *
                            *  183 *      12.2063 *    -526.9482 **  184 *      23.7925 *    -526.8473 *
                            *  185 *      35.4888 *    -526.6363 **  186 *      47.3505 *    -526.3110 *
                            *  187 *      59.4329 *    -525.8657 **  188 *     -51.5383 *    -554.2292 *
                            *  189 *     -40.7915 *    -554.8593 **  190 *     -30.2422 *    -555.3548 *
                            *  191 *     -19.8414 *    -555.7215 **  192 *      -9.5397 *    -555.9636 *
                            *  193 *       0.7119 *    -556.0834 **  194 *      10.9629 *    -556.0818 *
                            *  195 *      21.2623 *    -555.9580 **  196 *      31.6594 *    -555.7095 *
                            *  197 *      42.2035 *    -555.3322 **  198 *      52.9437 *    -554.8204 *
                            *  199 *     -44.2915 *    -579.6190 **  200 *     -35.0236 *    -580.3056 *
                            *  201 *     -25.9287 *    -580.8448 **  202 *     -16.9638 *    -581.2425 *
                            *  203 *      -8.0857 *    -581.5026 **  204 *       0.7485 *    -581.6277 *
                            *  205 *       9.5820 *    -581.6186 **  206 *      18.4579 *    -581.4744 *
                            *  207 *      27.4191 *    -581.1927 **  208 *      36.5088 *    -580.7694 *
                            *  209 *      45.7701 *    -580.1988 **  210 *     -36.4472 *    -601.1120 *
                            *  211 *     -28.7779 *    -601.8474 **  212 *     -21.2570 *    -602.4244 *
                            *  213 *     -13.8476 *    -602.8487 **  214 *      -6.5128 *    -603.1243 *
                            *  215 *       0.7844 *    -603.2538 **  216 *       8.0808 *    -603.2380 *
                            *  217 *      15.4134 *    -603.0760 **  218 *      22.8191 *    -602.7654 *
                            *  219 *      30.3349 *    -602.3021 **  220 *      37.9975 *    -601.6803 *
                            *  221 *     -28.0908 *    -618.4304 **  222 *     -22.1227 *    -619.2070 *
                            *  223 *     -16.2783 *    -619.8157 **  224 *     -10.5270 *    -620.2624 *
                            *  225 *      -4.8380 *    -620.5510 **  226 *       0.8196 *    -620.6840 *
                            *  227 *       6.4764 *    -620.6624 **  228 *      12.1632 *    -620.4852 *
                            *  229 *      17.9108 *    -620.1499 **  230 *      23.7500 *    -619.6526 *
                            *  231 *      29.7115 *    -618.9873 **  232 *     -19.3079 *    -631.3392 *
                            *  233 *     -15.1263 *    -632.1493 **  234 *     -11.0440 *    -632.7838 *
                            *  235 *      -7.0362 *    -633.2485 **  236 *      -3.0784 *    -633.5475 *
                            *  237 *       0.8540 *    -633.6833 **  238 *       4.7857 *    -633.6567 *
                            *  239 *       8.7413 *    -633.4668 **  240 *      12.7454 *    -633.1112 *
                            *  241 *      16.8226 *    -632.5857 **  242 *      20.9974 *    -631.8848 *
                            *  243 *     -10.1838 *    -639.6462 **  244 *      -7.8572 *    -640.4820 *
                            *  245 *      -5.6053 *    -641.1364 **  246 *      -3.4094 *    -641.6149 *
                            *  247 *      -1.2512 *    -641.9217 **  248 *       0.8878 *    -642.0594 *
                            *  249 *       3.0260 *    -642.0286 **  250 *       5.1820 *    -641.8286 *
                            *  251 *       7.3742 *    -641.4569 **  252 *       9.6209 *    -640.9094 *
                            *  253 *      11.9408 *    -640.1803 **  254 *      -0.8040 *    -643.2017 *
                            *  255 *      -0.3838 *    -644.0557 **  256 *      -0.0134 *    -644.7238 *
                            *  257 *       0.3192 *    -645.2119 **  258 *       0.6265 *    -645.5240 *
                            *  259 *       0.9208 *    -645.6626 **  260 *       1.2143 *    -645.6286 *
                            *  261 *       1.5194 *    -645.4210 **  262 *       1.8484 *    -645.0375 *
                            *  263 *       2.2135 *    -644.4739 **  264 *       2.6271 *    -643.7245 *
                            *  265 *       8.7459 *    -641.8990 **  266 *       7.2258 *    -642.7634 *
                            *  267 *       5.6802 *    -643.4393 **  268 *       4.1155 *    -643.9327 *
                            *  269 *       2.5378 *    -644.2475 **  270 *       0.9531 *    -644.3863 *
                            *  271 *      -0.6323 *    -644.3498 **  272 *      -2.2123 *    -644.1372 *
                            *  273 *      -3.7807 *    -643.7462 **  274 *      -5.3314 *    -643.1725 *
                            *  275 *      -6.8582 *    -642.4104 **  276 *      18.3806 *    -635.6740 *
                            *  277 *      14.9029 *    -636.5410 **  278 *      11.4245 *    -637.2189 *
                            *  279 *       7.9453 *    -637.7132 **  280 *       4.4654 *    -638.0282 *
                            *  281 *       0.9847 *    -638.1662 **  282 *      -2.4967 *    -638.1282 *
                            *  283 *      -5.9788 *    -637.9132 **  284 *      -9.4617 *    -637.5189 *
                            *  285 *     -12.9453 *    -636.9410 **  286 *     -16.4297 *    -636.1740 *
                            *  287 *      28.0146 *    -624.5052 **  288 *      22.5794 *    -625.3673 *
                            *  289 *      17.1680 *    -626.0410 **  290 *      11.7744 *    -626.5321 *
                            *  291 *       6.3923 *    -626.8446 **  292 *       1.0156 *    -626.9811 *
                            *  293 *      -4.3618 *    -626.9424 **  294 *      -9.7461 *    -626.7275 *
                            *  295 *     -15.1434 *    -626.3342 **  296 *     -20.5600 *    -625.7582 *
                            *  297 *     -26.0019 *    -624.9939 **  298 *      37.5625 *    -608.4142 *
                            *  299 *      30.1868 *    -609.2636 **  300 *      22.8596 *    -609.9271 *
                            *  301 *      15.5685 *    -610.4107 **  302 *       8.3014 *    -610.7182 *
                            *  303 *       1.0458 *    -610.8523 **  304 *      -6.2105 *    -610.8137 *
                            *  305 *     -13.4799 *    -610.6016 **  306 *     -20.7746 *    -610.2135 *
                            *  307 *     -28.1070 *    -609.6454 **  308 *     -35.4893 *    -608.8914 *
                            *  309 *      46.9387 *    -587.4648 **  310 *      37.6567 *    -588.2938 *
                            *  311 *      28.4479 *    -588.9413 **  312 *      19.2936 *    -589.4130 *
                            *  313 *      10.1756 *    -589.7131 **  314 *       1.0753 *    -589.8439 *
                            *  315 *      -8.0258 *    -589.8063 **  316 *     -17.1460 *    -589.5995 *
                            *  317 *     -26.3040 *    -589.2209 **  318 *     -35.5180 *    -588.6666 *
                            *  319 *     -44.8066 *    -587.9308 **  320 *      56.0577 *    -561.7640 *
                            *  321 *      44.9208 *    -562.5650 **  322 *      33.8816 *    -563.1904 *
                            *  323 *      22.9155 *    -563.6460 **  324 *      11.9979 *    -563.9360 *
                            *  325 *       1.1041 *    -564.0627 **  326 *      -9.7904 *    -564.0270 *
                            *  327 *     -20.7103 *    -563.8280 **  328 *     -31.6802 *    -563.4633 *
                            *  329 *     -42.7246 *    -562.9288 **  330 *     -53.8682 *    -562.2188 *
                            *  331 *      64.8341 *    -531.4613 **  332 *      51.9106 *    -532.2265 *
                            *  333 *      39.1095 *    -532.8238 **  334 *      26.4000 *    -533.2591 *
                            *  335 *      13.7512 *    -533.5364 **  336 *       1.1324 *    -533.6582 *
                            *  337 *     -11.4872 *    -533.6253 **  338 *     -24.1385 *    -533.4368 *
                            *  339 *     -36.8520 *    -533.0903 **  340 *     -49.6586 *    -532.5816 *
                            *  341 *     -62.5889 *    -531.9050 **  342 *      73.1819 *    -496.7491 *
                            *  343 *      58.5575 *    -497.4708 **  344 *      44.0802 *    -498.0341 *
                            *  345 *      29.7129 *    -498.4447 **  346 *      15.4186 *    -498.7068 *
                            *  347 *       1.1603 *    -498.8228 **  348 *     -13.0990 *    -498.7935 *
                            *  349 *     -27.3962 *    -498.6181 **  350 *     -41.7682 *    -498.2939 *
                            *  351 *     -56.2517 *    -497.8170 **  352 *     -70.8834 *    -497.1815 *
                            *  353 *      81.0155 *    -457.8631 **  354 *      64.7932 *    -458.5335 *
                            *  355 *      48.7425 *    -459.0567 **  356 *      32.8202 *    -459.4384 *
                            *  357 *      16.9830 *    -459.6825 **  358 *       1.1878 *    -459.7915 *
                            *  359 *     -14.6086 *    -459.7663 **  360 *     -30.4493 *    -459.6062 *
                            *  361 *     -46.3774 *    -459.3086 **  362 *     -62.4358 *    -458.8693 *
                            *  363 *     -78.6671 *    -458.2826 **  364 *      88.2489 *    -415.0830 *
                            *  365 *      70.5493 *    -415.6945 **  366 *      53.0452 *    -416.1715 *
                            *  367 *      35.6874 *    -416.5193 **  368 *      18.4269 *    -416.7419 *
                            *  369 *       1.2144 *    -416.8420 **  370 *     -15.9993 *    -416.8206 *
                            *  371 *     -33.2638 *    -416.6773 **  372 *     -50.6284 *    -416.4097 *
                            *  373 *     -68.1425 *    -416.0138 **  374 *     -85.8550 *    -415.4835 *
                            *  375 *      94.7988 *    -368.7336 **  376 *      75.7592 *    -369.2791 *
                            *  377 *      56.9373 *    -369.7036 **  378 *      38.2791 *    -370.0118 *
                            *  379 *      19.7304 *    -370.2077 **  380 *       1.2367 *    -370.2947 *
                            *  381 *     -17.2571 *    -370.2746 **  382 *     -35.8071 *    -370.1478 *
                            *  383 *     -54.4698 *    -369.9126 **  384 *     -73.3022 *    -369.5652 *
                            *  385 *     -92.3607 *    -369.0991 **  386 *     100.5902 *    -319.1856 *
                            *  387 *      80.3616 *    -319.6594 **  388 *      60.3688 *    -320.0246 *
                            *  389 *      40.5560 *    -320.2852 **  390 *      20.8671 *    -320.4459 *
                            *  391 *       1.2439 *    -320.5118 **  392 *     -18.3741 *    -320.4869 *
                            *  393 *     -38.0502 *    -320.3736 **  394 *     -57.8500 *    -320.1716 *
                            *  395 *     -77.8406 *    -319.8772 **  396 *     -98.0894 *    -319.4835 *
                            *  397 *     105.5735 *    -266.8485 **  398 *      84.3078 *    -267.2489 *
                            *  399 *      63.2888 *    -267.5474 **  400 *      42.4687 *    -267.7483 *
                            *  401 *      21.7952 *    -267.8605 **  402 *       1.2098 *    -267.8939 *
                            *  403 *     -19.3539 *    -267.8568 **  404 *     -39.9691 *    -267.7541 *
                            *  405 *     -60.7142 *    -267.5866 **  406 *     -81.6714 *    -267.3511 *
                            *  407 *    -102.9252 *    -267.0399 **  408 *     109.7641 *    -212.1333 *
                            *  409 *      87.5716 *    -212.4676 **  410 *      65.6372 *    -212.6902 *
                            *  411 *      43.9417 *    -212.8170 **  412 *      22.4471 *    -212.8722 *
                            *  413 *       1.0907 *    -212.8741 **  414 *     -20.2079 *    -212.8332 *
                            *  415 *     -41.5388 *    -212.7533 **  416 *     -62.9981 *    -212.6336 *
                            *  417 *     -84.6865 *    -212.4702 **  418 *    -106.7106 *    -212.2558 *
                            *  419 *     113.3091 *    -155.3072 **  420 *      90.1359 *    -155.5966 *
                            *  421 *      67.3035 *    -155.7369 **  422 *      44.8661 *    -155.8215 *
                            *  423 *      22.7565 *    -155.8839 **  424 *       0.8689 *    -155.9319 *
                            *  425 *     -20.9123 *    -155.9626 **  426 *     -42.7024 *    -155.9692 *
                            *  427 *     -64.6140 *    -155.9450 **  428 *     -86.7585 *    -155.8849 *
                            *  429 *    -109.2521 *    -155.7873 **  430 *     116.4837 *     -95.9473 *
                            *  431 *      91.7946 *     -96.1821 **  432 *      68.1820 *     -96.5411 *
                            *  433 *      45.2829 *     -96.9520 **  434 *      22.8535 *     -97.3623 *
                            *  435 *       0.7072 *     -97.7350 **  436 *     -21.3093 *     -98.0461 *
                            *  437 *     -43.3272 *     -98.2826 **  438 *     -65.4602 *     -98.4418 *
                            *  439 *     -87.8050 *     -98.5302 **  440 *    -110.4406 *     -98.5648 *
                            *  441 *     117.8681 *     -30.0433 **  442 *      93.0141 *     -32.7269 *
                            *  443 *      69.1722 *     -35.0429 **  444 *      46.0539 *     -36.9683 *
                            *  445 *      23.4224 *     -38.5077 **  446 *       1.0871 *     -39.6823 *
                            *  447 *     -21.1074 *     -40.5255 **  448 *     -43.2896 *     -41.0817 *
                            *  449 *     -65.5641 *     -41.4069 **  450 *     -88.0073 *     -41.5709 *
                            *  451 *    -110.6540 *     -41.6606 **
                            ****************************************************************************
