

                                               d  i  s  p  l  a  c  e  m  e  n  t  s
                            *   69 *     -42.2353 *    -148.5363 **   70 *     -27.8770 *    -148.1766 *
                            *   71 *     -13.7744 *    -147.9789 **   72 *       0.2002 *    -147.9461 *
                            *   73 *      14.1749 *    -148.0791 **   74 *      28.2774 *    -148.3770 *
                            *   75 *      42.6355 *    -148.8368 **   76 *      57.3774 *    -149.4543 *
                            *   77 *      72.6308 *    -150.2224 **   78 *     -77.5587 *    -189.9503 *
                            *   79 *     -61.2724 *    -189.4648 **   80 *     -45.4707 *    -189.0896 *
                            *   81 *     -30.0326 *    -188.8312 **   82 *     -14.8368 *    -188.6942 *
                            *   83 *       0.2377 *    -188.6816 **   84 *      15.3123 *    -188.7942 *
                            *   85 *      30.5079 *    -189.0312 **   86 *      45.9459 *    -189.3896 *
                            *   87 *      61.7474 *    -189.8648 **   88 *      78.0336 *    -190.4504 *
                            *   89 *     -81.2399 *    -232.3050 **   90 *     -64.2503 *    -231.9924 *
                            *   91 *     -47.7184 *    -231.7515 **   92 *     -31.5298 *    -231.5892 *
                            *   93 *     -15.5701 *    -231.5098 **   94 *       0.2752 *    -231.5164 *
                            *   95 *      16.1204 *    -231.6098 **   96 *      32.0801 *    -231.7891 *
                            *   97 *      48.2686 *    -232.0515 **   98 *      64.8004 *    -232.3923 *
                            *   99 *      81.7900 *    -232.8049 **  100 *     -83.3663 *    -275.9859 *
                            *  101 *     -65.9843 *    -275.8362 **  102 *     -49.0331 *    -275.7222 *
                            *  103 *     -32.4050 *    -275.6503 **  104 *     -15.9923 *    -275.6253 *
                            *  105 *       0.3126 *    -275.6500 **  106 *      16.6176 *    -275.7253 *
                            *  107 *      33.0302 *    -275.8503 **  108 *      49.6583 *    -276.0221 *
                            *  109 *      66.6095 *    -276.2362 **  110 *      83.9915 *    -276.4858 *
                            *  111 *     -84.0294 *    -320.2385 **  112 *     -66.5476 *    -320.2420 *
                            *  113 *     -49.4698 *    -320.2470 **  114 *     -32.6949 *    -320.2602 *
                            *  115 *     -16.1219 *    -320.2863 **  116 *       0.3501 *    -320.3280 *
                            *  117 *      16.8221 *    -320.3863 **  118 *      33.3951 *    -320.4602 *
                            *  119 *      50.1700 *    -320.5470 **  120 *      67.2479 *    -320.6419 *
                            *  121 *      84.7296 *    -320.7385 **  122 *     -83.3205 *    -364.3541 *
                            *  123 *     -66.0135 *    -364.5007 **  124 *     -49.0833 *    -364.6172 *
                            *  125 *     -32.4360 *    -364.7100 **  126 *     -15.9771 *    -364.7838 *
                            *  127 *       0.3876 *    -364.8414 **  128 *      16.7523 *    -364.8838 *
                            *  129 *      33.2112 *    -364.9100 **  130 *      49.8586 *    -364.9172 *
                            *  131 *      66.7887 *    -364.9007 **  132 *      84.0958 *    -364.8541 *
                            *  133 *     -81.3312 *    -407.6695 **  134 *     -64.4549 *    -407.9495 *
                            *  135 *     -47.9286 *    -408.1697 **  136 *     -31.6649 *    -408.3365 *
                            *  137 *     -15.5761 *    -408.4548 **  138 *       0.4251 *    -408.5272 *
                            *  139 *      16.4263 *    -408.5548 **  140 *      32.5151 *    -408.5365 *
                            *  141 *      48.7788 *    -408.4697 **  142 *      65.3051 *    -408.3495 *
                            *  143 *      82.1815 *    -408.1695 **  144 *     -78.1530 *    -449.5673 *
                            *  145 *     -61.9452 *    -449.9708 **  146 *     -46.0605 *    -450.2870 *
                            *  147 *     -30.4182 *    -450.5225 **  148 *     -14.9374 *    -450.6819 *
                            *  149 *       0.4626 *    -450.7681 **  150 *      15.8626 *    -450.7819 *
                            *  151 *      31.3434 *    -450.7225 **  152 *      46.9857 *    -450.5870 *
                            *  153 *      62.8704 *    -450.3708 **  154 *      79.0782 *    -450.0673 *
                            *  155 *     -73.8772 *    -489.4760 **  156 *     -58.5574 *    -489.9931 *
                            *  157 *     -43.5339 *    -490.3977 **  158 *     -28.7325 *    -490.6963 *
                            *  159 *     -14.0792 *    -490.8935 **  160 *       0.5001 *    -490.9923 *
                            *  161 *      15.0794 *    -490.9935 **  162 *      29.7327 *    -490.8963 *
                            *  163 *      44.5341 *    -490.6977 **  164 *      59.5576 *    -490.3931 *
                            *  165 *      74.8774 *    -489.9760 **  166 *     -68.5953 *    -526.8697 *
                            *  167 *     -54.3648 *    -527.4905 **  168 *     -40.4036 *    -527.9757 *
                            *  169 *     -26.6443 *    -528.3319 **  170 *     -13.0197 *    -528.5637 *
                            *  171 *       0.5376 *    -528.6740 **  172 *      14.0949 *    -528.6637 *
                            *  173 *      27.7196 *    -528.5319 **  174 *      41.4788 *    -528.2757 *
                            *  175 *      55.4400 *    -527.8905 **  176 *      69.6705 *    -527.3697 *
                            *  177 *     -62.3988 *    -561.2681 **  178 *     -49.4405 *    -561.9827 *
                            *  179 *     -36.7246 *    -562.5409 **  180 *     -24.1904 *    -562.9493 *
                            *  181 *     -11.7773 *    -563.2124 **  182 *       0.5751 *    -563.3331 *
                            *  183 *      12.9276 *    -563.3124 **  184 *      25.3406 *    -563.1493 *
                            *  185 *      37.8748 *    -562.8409 **  186 *      50.5907 *    -562.3827 *
                            *  187 *      63.5490 *    -561.7681 **  188 *     -55.3791 *    -592.2368 *
                            *  189 *     -43.8577 *    -593.0354 **  190 *     -32.5516 *    -593.6589 *
                            *  191 *     -21.4071 *    -594.1139 **  192 *     -10.3703 *    -594.4050 *
                            *  193 *       0.6126 *    -594.5351 **  194 *      11.5956 *    -594.5050 *
                            *  195 *      22.6323 *    -594.3139 **  196 *      33.7768 *    -593.9589 *
                            *  197 *      45.0829 *    -593.4354 **  198 *      56.6044 *    -592.7368 *
                            *  199 *     -47.6278 *    -619.3872 **  200 *     -37.6895 *    -620.2599 *
                            *  201 *     -27.9397 *    -620.9410 **  202 *     -18.3312 *    -621.4371 *
                            *  203 *      -8.8170 *    -621.7529 **  204 *       0.6501 *    -621.8912 *
                            *  205 *      10.1172 *    -621.8529 **  206 *      19.6314 *    -621.6371 *
                            *  207 *      29.2399 *    -621.2410 **  208 *      38.9897 *    -620.6599 *
                            *  209 *      48.9280 *    -619.8872 **  210 *     -39.2363 *    -642.3762 *
                            *  211 *     -31.0092 *    -643.3131 **  212 *     -22.9436 *    -644.0441 *
                            *  213 *     -14.9992 *    -644.5759 **  214 *      -7.1356 *    -644.9131 *
                            *  215 *       0.6876 *    -645.0586 **  216 *       8.5108 *    -645.0131 *
                            *  217 *      16.3744 *    -644.7759 **  218 *      24.3188 *    -644.3441 *
                            *  219 *      32.3844 *    -643.7131 **  220 *      40.6115 *    -642.8762 *
                            *  221 *     -30.2959 *    -660.9065 **  222 *     -23.8898 *    -661.8978 *
                            *  223 *     -17.6183 *    -662.6711 **  224 *     -11.4477 *    -663.2331 *
                            *  225 *      -5.3445 *    -663.5884 **  226 *       0.7251 *    -663.7398 *
                            *  227 *       6.7947 *    -663.6884 **  228 *      12.8979 *    -663.4331 *
                            *  229 *      19.0685 *    -662.9711 **  230 *      25.3400 *    -662.2978 *
                            *  231 *      31.7462 *    -661.4065 **  232 *     -20.8983 *    -674.7268 *
                            *  233 *     -16.4046 *    -675.7625 **  234 *     -12.0185 *    -676.5704 *
                            *  235 *      -7.7133 *    -677.1570 **  236 *      -3.4619 *    -677.5272 *
                            *  237 *       0.7626 *    -677.6836 **  238 *       4.9871 *    -677.6272 *
                            *  239 *       9.2385 *    -677.3570 **  240 *      13.5438 *    -676.8704 *
                            *  241 *      17.9298 *    -676.1625 **  242 *      22.4235 *    -675.2268 *
                            *  243 *     -11.1349 *    -683.6311 **  244 *      -8.6267 *    -684.7014 *
                            *  245 *      -6.1993 *    -685.5362 **  246 *      -3.8325 *    -686.1421 *
                            *  247 *      -1.5061 *    -686.5237 **  248 *       0.8001 *    -686.6839 *
                            *  249 *       3.1063 *    -686.6237 **  250 *       5.4327 *    -686.3421 *
                            *  251 *       7.7995 *    -685.8362 **  252 *      10.2269 *    -685.1014 *
                            *  253 *      12.7351 *    -684.1311 **  254 *      -1.0970 *    -687.4595 *
                            *  255 *      -0.6293 *    -688.5545 **  256 *      -0.2155 *    -689.4084 *
                            *  257 *       0.1580 *    -690.0280 **  258 *       0.5045 *    -690.4179 *
                            *  259 *       0.8376 *    -690.5809 **  260 *       1.1707 *    -690.5179 *
                            *  261 *       1.5172 *    -690.2280 **  262 *       1.8907 *    -689.7084 *
                            *  263 *       2.3045 *    -688.9545 **  264 *       2.7722 *    -687.9595 *
                            *  265 *       9.1238 *    -686.0976 **  266 *       7.5144 *    -687.2073 *
                            *  267 *       5.8782 *    -688.0729 **  268 *       4.2217 *    -688.7007 *
                            *  269 *       2.5518 *    -689.0955 **  270 *       0.8751 *    -689.2601 *
                            *  271 *      -0.8015 *    -689.1955 **  272 *      -2.4715 *    -688.9007 *
                            *  273 *      -4.1279 *    -688.3729 **  274 *      -5.7642 *    -687.6073 *
                            *  275 *      -7.3735 *    -686.5976 **  276 *      19.4360 *    -679.4768 *
                            *  277 *      15.7313 *    -680.5915 **  278 *      12.0266 *    -681.4608 *
                            *  279 *       8.3220 *    -682.0914 **  280 *       4.6173 *    -682.4879 *
                            *  281 *       0.9126 *    -682.6530 **  282 *      -2.7921 *    -682.5879 *
                            *  283 *      -6.4967 *    -682.2914 **  284 *     -10.2014 *    -681.7608 *
                            *  285 *     -13.9061 *    -680.9915 **  286 *     -17.6108 *    -679.9768 *
                            *  287 *      29.7482 *    -667.5742 **  288 *      23.9482 *    -668.6840 *
                            *  289 *      18.1751 *    -669.5495 **  290 *      12.4222 *    -670.1773 *
                            *  291 *       6.6828 *    -670.5721 **  292 *       0.9501 *    -670.7368 *
                            *  293 *      -4.7826 *    -670.6721 **  294 *     -10.5220 *    -670.3773 *
                            *  295 *     -16.2749 *    -669.8495 **  296 *     -22.0480 *    -669.0839 *
                            *  297 *     -27.8480 *    -668.0742 **  298 *      39.9690 *    -650.4127 *
                            *  299 *      32.0920 *    -651.5077 **  300 *      24.2687 *    -652.3617 *
                            *  301 *      16.4859 *    -652.9813 **  302 *       8.7300 *    -653.3712 *
                            *  303 *       0.9876 *    -653.5341 **  304 *      -6.7548 *    -653.4711 *
                            *  305 *     -14.5107 *    -653.1813 **  306 *     -22.2935 *    -652.6616 *
                            *  307 *     -30.1167 *    -651.9077 **  308 *     -37.9938 *    -650.9127 *
                            *  309 *      50.0069 *    -628.0610 **  310 *      40.0894 *    -629.1312 *
                            *  311 *      30.2526 *    -629.9660 **  312 *      20.4764 *    -630.5719 *
                            *  313 *      10.7407 *    -630.9535 **  314 *       1.0251 *    -631.1138 *
                            *  315 *      -8.6905 *    -631.0535 **  316 *     -18.4262 *    -630.7719 *
                            *  317 *     -28.2024 *    -630.2660 **  318 *     -38.0391 *    -629.5312 *
                            *  319 *     -47.9566 *    -628.5609 **  320 *      59.7704 *    -600.6332 *
                            *  321 *      47.8673 *    -601.6689 **  322 *      36.0718 *    -602.4768 *
                            *  323 *      24.3572 *    -603.0635 **  324 *      12.6964 *    -603.4336 *
                            *  325 *       1.0626 *    -603.5900 **  326 *     -10.5713 *    -603.5336 *
                            *  327 *     -22.2320 *    -603.2635 **  328 *     -33.9466 *    -602.7768 *
                            *  329 *     -45.7420 *    -602.0689 **  330 *     -57.6450 *    -601.1332 *
                            *  331 *      69.1681 *    -568.2894 **  332 *      55.3525 *    -569.2806 *
                            *  333 *      41.6716 *    -570.0540 **  334 *      28.0916 *    -570.6160 *
                            *  335 *      14.5790 *    -570.9714 **  336 *       1.1001 *    -571.1229 *
                            *  337 *     -12.3789 *    -571.0715 **  338 *     -25.8915 *    -570.8162 *
                            *  339 *     -39.4713 *    -570.3543 **  340 *     -53.1521 *    -569.6810 *
                            *  341 *     -66.9676 *    -568.7898 **  342 *      78.1084 *    -531.2351 *
                            *  343 *      62.4718 *    -532.1720 **  344 *      46.9969 *    -532.9031 *
                            *  345 *      31.6432 *    -533.4351 **  346 *      16.3704 *    -533.7725 *
                            *  347 *       1.1378 *    -533.9182 **  348 *     -14.0948 *    -533.8731 *
                            *  349 *     -29.3679 *    -533.6361 **  350 *     -44.7217 *    -533.2044 *
                            *  351 *     -60.1966 *    -532.5734 **  352 *     -75.8329 *    -531.7365 *
                            *  353 *      86.4992 *    -489.7219 **  354 *      69.1515 *    -490.5945 *
                            *  355 *      51.9928 *    -491.2757 **  356 *      34.9757 *    -491.7721 *
                            *  357 *      18.0527 *    -492.0885 **  358 *       1.1764 *    -492.2275 *
                            *  359 *     -15.7002 *    -492.1899 **  360 *     -32.6244 *    -491.9746 *
                            *  361 *     -49.6429 *    -491.5788 **  362 *     -66.8026 *    -490.9978 *
                            *  363 *     -84.1503 *    -490.2249 **  364 *      94.2472 *    -444.0480 *
                            *  365 *      75.3177 *    -444.8461 **  366 *      56.6045 *    -445.4697 *
                            *  367 *      38.0529 *    -445.9250 **  368 *      19.6084 *    -446.2169 *
                            *  369 *       1.2167 *    -446.3479 **  370 *     -17.1762 *    -446.3188 *
                            *  371 *     -35.6239 *    -446.1285 **  372 *     -54.1801 *    -445.7740 *
                            *  373 *     -72.8978 *    -445.2505 **  374 *     -91.8299 *    -444.5514 *
                            *  375 *     101.2586 *    -394.5611 **  376 *      80.8966 *    -395.2751 *
                            *  377 *      60.7770 *    -395.8326 **  378 *      40.8384 *    -396.2406 *
                            *  379 *      21.0189 *    -396.5029 **  380 *       1.2581 *    -396.6226 *
                            *  381 *     -18.5046 *    -396.6008 **  382 *     -38.3299 *    -396.4369 *
                            *  383 *     -58.2783 *    -396.1280 **  384 *     -78.4096 *    -395.6693 *
                            *  385 *     -98.7831 *    -395.0536 **  386 *     107.4426 *    -341.6650 *
                            *  387 *      85.8176 *    -342.2835 **  388 *      64.4576 *    -342.7680 *
                            *  389 *      43.2922 *    -343.1186 **  390 *      22.2594 *    -343.3417 *
                            *  391 *       1.2926 *    -343.4410 **  392 *     -19.6746 *    -343.4191 *
                            *  393 *     -40.7097 *    -343.2775 **  394 *     -61.8821 *    -343.0153 *
                            *  395 *     -83.2615 *    -342.6276 **  396 *    -104.9164 *    -342.1059 *
                            *  397 *     112.7311 *    -285.8138 **  398 *      90.0297 *    -286.3399 *
                            *  399 *      67.5907 *    -286.7345 **  400 *      45.3676 *    -287.0159 *
                            *  401 *      23.2865 *    -287.1819 **  402 *       1.2865 *    -287.2386 *
                            *  403 *     -20.6982 *    -287.1963 **  404 *     -42.7436 *    -287.0636 *
                            *  405 *     -64.9346 *    -286.8439 **  406 *     -87.3606 *    -286.5334 *
                            *  407 *    -110.1104 *    -286.1198 **  408 *     117.1268 *    -227.5266 *
                            *  409 *      93.4970 *    -227.9197 **  410 *      70.1562 *    -228.2470 *
                            *  411 *      46.9869 *    -228.4342 **  412 *      23.9968 *    -228.4992 *
                            *  413 *       1.1519 *    -228.4770 **  414 *     -21.6227 *    -228.3939 *
                            *  415 *     -44.4257 *    -228.2634 **  416 *     -67.3692 *    -228.0897 *
                            *  417 *     -90.5757 *    -227.8690 **  418 *    -114.1737 *    -227.5871 *
                            *  419 *     120.7876 *    -167.0985 **  420 *      96.4385 *    -167.6035 *
                            *  421 *      71.9864 *    -167.7340 **  422 *      47.9015 *    -167.7066 *
                            *  423 *      24.2121 *    -167.6457 **  424 *       0.8089 *    -167.5936 *
                            *  425 *     -22.4493 *    -167.5517 **  426 *     -45.7039 *    -167.5064 *
                            *  427 *     -69.0897 *    -167.4422 **  428 *     -92.7422 *    -167.3498 *
                            *  429 *    -116.8231 *    -167.2313 **  430 *     124.8858 *    -105.0429 *
                            *  431 *      98.1056 *    -104.5309 **  432 *      72.5919 *    -104.3750 *
                            *  433 *      48.0425 *    -104.5333 **  434 *      24.1088 *    -104.8576 *
                            *  435 *       0.5234 *    -105.2302 **  436 *     -22.9157 *    -105.5780 *
                            *  437 *     -46.3665 *    -105.8611 **  438 *     -69.9549 *    -106.0622 *
                            *  439 *     -93.7795 *    -106.1807 **  440 *    -117.9128 *    -106.2376 *
                            *  441 *     129.0066 *     -29.5763 **  442 *      99.8884 *     -34.1306 *
                            *  443 *      73.6755 *     -37.6685 **  444 *      48.8214 *     -40.3377 *
                            *  445 *      24.6794 *     -42.3039 **  446 *       0.9065 *     -43.7046 *
                            *  447 *     -22.7134 *     -44.6501 **  448 *     -46.3334 *     -45.2359 *
                            *  449 *     -70.0639 *     -45.5554 **  450 *     -93.9699 *     -45.7088 *
                            *  451 *    -118.0355 *     -45.8052 **
                            ****************************************************************************
